Serial        VIOS            FC     ENTNODE                        WWN                      FAB TPORTS APORTS ON   OFF  LEFT PERC     SCSCI_ID PORT_DEC PORT_LABEL STATUS   SPEED  ERR   LABEL              GD
HEX-78C65C8   P10B_SRV2VIO1   fcs0   U78D8.ND0.FGD0622-P0-C7-C0-T0  10:00:70:b7:e4:29:7d:a5  1   255    255    0    0    255  0%       332500   37       LAP37      Up       32G    0     GD1_70             GD1
HEX-78C65C8   P10B_SRV2VIO1   fcs1   U78D8.ND0.FGD0622-P0-C7-C0-T1  10:00:70:b7:e4:29:7d:a6  1   255    255    0    0    255  0%       3ec600   198      LEP6       Up       32G    0     GD3_72             GD3
HEX-78C65C8   P10B_SRV2VIO1   fcs4   U78D8.ND1.FGD05TL-P0-C0-C0-T0  10:00:70:b7:e4:0f:11:69  1   255    255    0    0    255  0%       338440   388      LIP4       Up       32G    0     GD2_70             GD2
HEX-78C65C8   P10B_SRV2VIO1   fcs5   U78D8.ND1.FGD05TL-P0-C0-C0-T1  10:00:70:b7:e4:0f:11:6a  1   255    255    0    0    255  0%       3e8140   385      LIP1       Up       32G    0     GD1_72             GD1
HEX-78C65C8   P10B_SRV2VIO1   fcs6   U5B61.001.WZS030H-P0-C0-T0     10:00:70:b7:e4:10:06:c8  1   255    255    0    0    255  0%       33c600   198      LEP6       Up       32G    0     GD3_70             GD3
HEX-78C65C8   P10B_SRV2VIO1   fcs7   U5B61.001.WZS030H-P0-C0-T1     10:00:70:b7:e4:10:06:c9  1   255    255    0    0    255  0%       3e2500   37       LAP37      Up       32G    0     GD2_72             GD2
HEX-78C65C8   P10B_SRV2VIO1_M fcs0   U78D8.ND2.FGD062Y-P0-C0-C0-T0  10:00:70:b7:e4:0f:09:9f  1   255    255    0    0    255  0%       338140   385      LIP1       Up       32G    0     GD1_MON_70         GD1
HEX-78C65C8   P10B_SRV2VIO1_M fcs1   U78D8.ND2.FGD062Y-P0-C0-C0-T1  10:00:70:b7:e4:0f:09:a0  1   255    255    0    0    255  0%       3e8440   388      LIP4       Up       32G    0     GD2_MON_72         GD2
HEX-78C65C8   P10B_SRV2VIO1_M fcs2   U78D8.ND3.FGD06AV-P0-C0-C0-T0  10:00:70:b7:e4:29:6c:c3  1   255    255    0    0    255  0%       33c100   193      LEP1       Up       32G    0     GD2_MON_70         GD2
HEX-78C65C8   P10B_SRV2VIO1_M fcs3   U78D8.ND3.FGD06AV-P0-C0-C0-T1  10:00:70:b7:e4:29:6c:c4  1   255    255    0    0    255  0%       3ec100   193      LEP1       Up       32G    0     GD1_MON_72         GD1
HEX-78C65C8   P10B_SRV2VIO2   fcs0   U78D8.ND2.FGD062Y-P0-C2-C0-T0  10:00:70:b7:e4:09:a5:1e  1   255    255    0    0    255  0%       337800   120      LCP24      Up       32G    0     GD1_80             GD1
HEX-78C65C8   P10B_SRV2VIO2   fcs1   U78D8.ND2.FGD062Y-P0-C2-C0-T1  10:00:70:b7:e4:09:a5:1f  1   255    255    0    0    255  0%       3e2c40   300      LGP12      Up       32G    0     GD3_82             GD3
HEX-78C65C8   P10B_SRV2VIO2   fcs10  U5B61.001.WZS030Y-P0-C0-T0     10:00:70:b7:e4:10:05:41  1   255    255    0    0    255  0%       332c40   300      LGP12      Up       32G    0     GD3_80             GD3
HEX-78C65C8   P10B_SRV2VIO2   fcs11  U5B61.001.WZS030Y-P0-C0-T1     10:00:70:b7:e4:10:05:42  1   255    255    0    0    255  0%       3e7800   120      LCP24      Up       32G    0     GD2_82             GD2
HEX-78C65C8   P10B_SRV2VIO2   fcs4   U78D8.ND3.FGD06AV-P0-C2-C0-T0  10:00:70:b7:e4:0f:09:78  1   255    255    0    0    255  0%       33ed40   493      LKP13      Up       32G    0     GD2_80             GD2
HEX-78C65C8   P10B_SRV2VIO2   fcs5   U78D8.ND3.FGD06AV-P0-C2-C0-T1  10:00:70:b7:e4:0f:09:79  1   255    255    0    0    255  0%       3ee940   489      LKP9       Up       32G    0     GD1_82             GD1
HEX-78C65C8   P10B_SRV2VIO2_M fcs0   U78D8.ND0.FGD0622-P0-C2-C0-T0  10:00:70:b7:e4:0f:09:6f  1   255    255    0    0    255  0%       33e940   489      LKP9       Up       32G    0     GD1_MON_80         GD1
HEX-78C65C8   P10B_SRV2VIO2_M fcs1   U78D8.ND0.FGD0622-P0-C2-C0-T1  10:00:70:b7:e4:0f:09:70  1   255    255    0    0    255  0%       3eed40   493      LKP13      Up       32G    0     GD2_MON_82         GD2
HEX-78C65C8   P10B_SRV2VIO2_M fcs2   U78D8.ND1.FGD05TL-P0-C2-C0-T0  10:00:00:62:0b:3d:e6:19  1   255    255    0    0    255  0%       332740   295      LGP7       Up       32G    0     GD2_MON_80         GD2
